"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","refurl","Q00PARTICIPANT","Q00EXPE","Q00LIEU","Q00QUEST","QMIQ0A","QMIQ02[QMI01]","QMIQ02[QMI02]","QMIQ02[QMI03]","QMIQ02[QMI04]","QMIQ02[QMI05]","QMIQ03[QMI06]","QMIQ03[QMI07]","QMIQ03[QMI08]","QMIQ03[QMI09]","QMIQ03[QMI10]","QMIQ04[QMI11]","QMIQ04[QMI12]","QMIQ04[QMI13]","QMIQ04[QMI14]","QMIQ04[QMI15]","QMIQ05[QMI16]","QMIQ05[QMI17]","QMIQ05[QMI18]","QMIQ05[QMI19]","QMIQ05[QMI20]","QMIQ06[QMI21]","QMIQ06[QMI22]","QMIQ06[QMI23]","QMIQ06[QMI24]","QMIQ06[QMI25]","QMIQ07[QMI26]","QMIQ07[QMI27]","QMIQ07[QMI28]","QMIQ07[QMI29]","QMIQ07[QMI30]","QMIQ08[QMI31]","QMIQ08[QMI32]","QMIQ08[QMI33]","QMIQ08[QMI34]","QMIQ08[QMI35]","Q01Language","Q01Language[comment]","Q02Age","Q03Sex","Q03Sex[comment]","Q04Trouble","Q04Vision","Q04Vision[comment]","Q05Aphant","Q05Aphant[comment]","Q06Aphant","Q06Aphant[comment]","Q07Unvoluntary","Q07Unvoluntary[comment]","Q08Change","Q08Change[comment]","Q09Debrief","Q10Debrief","Q11Debrief","Q11","Q11[comment]","interviewtime","groupTime5559","Q00PARTICIPANTTime","Q00EXPETime","Q00LIEUTime","Q00QUESTTime","groupTime5036","QMIQ0ATime","QMIQ02Time","QMIQ03Time","QMIQ04Time","QMIQ05Time","QMIQ06Time","QMIQ07Time","QMIQ08Time","groupTime4906","Q01LanguageTime","Q02AgeTime","Q03SexTime","Q04TroubleTime","Q04VisionTime","Q05AphantTime","Q06AphantTime","Q07UnvoluntaryTime","Q08ChangeTime","groupTime5625","Q09DebriefTime","Q10DebriefTime","Q11DebriefTime","Q11Time"
"10","2022-03-29 07:45:36","4","fr","1722593622","2022-03-29 07:38:12","2022-03-29 07:45:36","","QMI_S001","KAY","","N","OK","07","07","04","06","06","05","05","06","03","07","06","07","04","05","06","07","04","06","07","06","05","04","05","04","07","06","02","03","07","04","07","02","05","04","05","01","","19","01","","N","01","","N","","N","","Y","","N","","oui","non","non","Y","","445.97","28.57","","","","","229.6","","","","","","","","","88.91","","","","","","","","","","98.89","","","",""
"11","2022-03-29 09:48:38","4","fr","187969659","2022-03-29 09:41:13","2022-03-29 09:48:38","","S002","KAY","","N","OK","06","05","06","07","05","03","05","06","05","06","06","05","06","06","07","04","03","06","05","04","05","04","06","06","06","05","05","03","04","05","05","06","04","03","04","01","","18","01","","N","02","","Y","Une camarade de classe m'a faite part de sa non représentation d'une pomme par exemple. Du fait qu'elle n'arrivait pas à se l'imaginer.","Y","","Y","","N","","Oui très claire","On chercge ici à mesurer la représentation mentale de stimulus et le degré de dilutation de notre pupille quand nous y sommes confrontés","La faim","Y","","446.06","35.43","","","","","205.19","","","","","","","","","128.14","","","","","","","","","","77.3","","","",""
"13","2022-03-29 12:53:38","4","fr","1988155263","2022-03-29 12:45:30","2022-03-29 12:53:38","","S003","KAY","","N","OK","06","04","03","05","07","06","07","07","04","07","05","05","02","07","06","05","06","03","05","06","07","05","05","05","07","07","05","06","07","07","03","05","07","03","05","01","","24","01","","N","01","","N","","N","","Y","","N","","Oui","Non","Oui, lorsque un triangle de couleur noire était présenté après plusieurs de couleur blanche, il était plus difficile de l'imaginer.","Y","","488.96","62","","","","","234.33","","","","","","","","","108.93","","","","","","","","","","83.7","","","",""
"14","2022-03-29 13:55:24","4","fr","9686927","2022-03-29 13:49:19","2022-03-29 13:55:24","","S004","KAY","","N","OK","07","07","06","07","07","07","07","06","04","07","04","07","05","07","07","07","07","06","07","07","04","05","06","04","07","06","06","07","07","07","07","07","06","07","06","01","","20","01","","N","02","","Y","","N","","Y","","Y","","oui","pas spécialement. peut-etre l'aspect de la pupille dès lors qu'elle doit se souvenir/imaginer un objet","non","Y","","367.1","25.74","","","","","167.25","","","","","","","","","91.84","","","","","","","","","","82.27","","","",""
"15","2022-03-29 14:51:26","4","fr","894089157","2022-03-29 14:43:32","2022-03-29 14:51:25","","S005","KAY","","N","OK","05","05","06","06","04","04","05","05","05","05","06","05","07","06","05","06","04","05","05","05","05","03","04","04","04","05","05","07","06","05","05","03","03","04","03","01","","22","01","","N","02","","N","","N","","Y","","N","","oui","","non","Y","","474.52","15.34","","","","","238.08","","","","","","","","","110.1","","","","","","","","","","111","","","",""
"16","2022-03-30 07:42:47","4","fr","1216939600","2022-03-30 07:33:31","2022-03-30 07:42:47","","S006","KAY","","N","OK","05","02","01","05","05","04","03","04","01","04","05","02","05","05","05","04","04","04","04","04","05","05","04","04","05","04","03","04","04","02","03","05","03","03","03","01","","22","01","","N","02","je porte des lunettes de repos","Y","","N","","Y","","N","","oui","oui, la qualité de l'image mentale dépend de la brillance de l'image","les images rémanentes, ma vision était trop concentré dessus alors je n'arrivais pas a m'imaginer quoique ce soit. Garder les yeux fixes sur un point me compliquait la tache aussi.","Y","","558.5","42.69","","","","","234.62","","","","","","","","","122.52","","","","","","","","","","158.67","","","",""
"18","2022-03-30 08:53:05","4","fr","514605252","2022-03-30 08:44:46","2022-03-30 08:53:05","","S007","KAY","","N","OK","05","05","04","06","05","05","04","04","03","05","05","05","05","04","05","05","05","05","06","05","05","05","04","04","05","05","04","04","05","05","05","06","05","06","05","01","","19","01","","N","01","","Y","","N","","Y","","N","","oui","non","non","Y","","501.99","15.76","","","","","321.77","","","","","","","","","105.5","","","","","","","","","","58.96","","","",""
"19","2022-03-30 09:53:03","4","fr","1697211095","2022-03-30 09:44:17","2022-03-30 09:53:03","","S008","KAY","","N","OK","04","06","05","06","04","03","05","05","06","05","04","03","04","06","05","06","06","06","07","06","06","05","05","05","05","04","05","03","05","03","04","05","05","04","03","01","","19","01","","N","02","","Y","Rapidement en cours","N","","Y","","N","","oui","oui, l'impact de la visualisation mentale d'image sur la dilatation de la pupille ","oui, l'écran de  neige m'a angoissé","Y","","527.42","27.06","","","","","226.27","","","","","","","","","133.34","","","","","","","","","","140.75","","","",""
"20","2022-03-30 10:47:04","4","fr","1689694392","2022-03-30 10:44:12","2022-03-30 10:47:04","","S009","KAY","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","Aucune idée","Non pas particulièrement","Y","","171.77","13.36","","","","","","","","","","","","","","","","","","","","","","","","158.41","","","",""
"21","2022-03-30 12:36:14","4","fr","1798399984","2022-03-30 12:28:41","2022-03-30 12:36:14","","S010","KAY","","N","OK","04","03","01","07","07","07","01","04","06","07","03","05","07","07","06","06","06","06","06","06","01","04","06","02","05","04","04","01","05","02","05","06","03","07","07","01","","19","01","","N","01","","Y","","N","","Y","","Y","mes rêveries sont devenues moins abstraites avec le temps","oui","non","non","Y","","455.06","12.75","","","","","251.23","","","","","","","","","166.87","","","","","","","","","","24.21","","","",""
